#BJD RV ErRV BIS Texp SN49 Contrast FWHM
2454135.84609 15.1211377819 0.23172620624 0.0153147815022 900.0018 203.4 47.2030444075 6.21781310836
2454174.73412 15.1159829548 0.257489537641 0.0198236861193 899.996 179.0 47.1508022988 6.22479569458
2454194.73437 15.1214837487 0.248714328325 0.0154980638287 899.9969 189.7 47.1494314651 6.21830508747
2454197.7159  15.1252418416 0.281178327317 0.017702229042 900.0004 166.0 47.1029286723 6.22327198902
2454198.72662 15.1275804657 0.310647708236 0.0180885534714 899.9965 147.6 47.1310869589 6.2219116948
2454200.65525 15.1291218773 0.256688501921 0.0191856781105 900.0004 178.2 47.1506564776 6.21989686746
2454201.54799 15.135904916 1.7131601911 0.013414309393 899.9972 36.7 47.0990922505 6.23819479805
2454201.79829 15.1325533816 0.373792269311 0.0207046494676 899.996 127.1 47.1507880431 6.22049873104
2454202.63983 15.1341068985 0.29847060948 0.0147233456753 899.995 152.7 47.1787325912 6.22055327063
2454225.61282 15.120113862 0.285326455199 0.015391417026 899.9994 159.3 47.2247481195 6.20840077815
2454228.63664 15.1172175043 0.249209331726 0.0180348978377 899.9955 183.4 47.2614630063 6.2086697046
2454230.6962  15.1143064234 0.210124517024 0.0154964463952 899.9996 219.5 47.289997107 6.20509316738
2454231.6737  15.1159212137 0.319255253691 0.0121077292998 900.0004 144.6 47.2224103374 6.21358546198
2454234.61702 15.1111459296 0.287851253196 0.0147235122208 899.9977 159.8 47.1994830874 6.21544805848
2454253.56765 15.1238803962 0.349755456633 0.0196732101601 899.9986 131.8 47.2095066283 6.2046100653
2454254.53443 15.1236062604 0.334160270819 0.017077874722 799.9957 137.7 47.2271250123 6.2042444009
2454255.55598 15.1260354681 0.249134520966 0.016791940045 899.9938 184.5 47.2670778677 6.19615813443
2454291.51602 15.1123503401 0.518187859838 0.0178380530736 755.4999 87.9 47.1885043127 6.22169775222
2454296.50257 15.1099850082 0.505726988179 0.0193311915732 900.0003 91.5 47.1315628681 6.22544211091
2454298.524   15.1108732481 0.393107767606 0.020716779402 899.9994 118.0 47.1117608089 6.23253799982
2454320.46556 15.1356012145 0.28978958434 0.0144624052141 900.0 160.3 47.2379098199 6.2070357348
2453759.874   15.134063435 0.228598417492 0.0155086556735 900.0006 202.1 47.1513688845 6.22136916391
2453764.88347 15.129179839 0.247383519246 0.0217259987033 900.0026 189.2 47.1554674687 6.21734567823
2453784.8515  15.1199279204 0.224978045153 0.0142261009197 900.0006 208.5 47.1636074518 6.21540091151
2453809.7889  15.1240150671 0.231877922174 0.0096846003103 899.9994 200.5 47.3102553529 6.19463862215
2453811.76854 15.131975584 0.315739054775 0.0121117885474 899.9988 143.7 47.258981797 6.19638831228
2453812.77179 15.1335368907 0.296592729528 0.0147238222256 900.0003 153.6 47.2265898164 6.20218570962
2453813.76222 15.1337240154 0.216036287407 0.0155152381636 900.0007 212.9 47.2334253034 6.20194338162
2453814.78257 15.13510386 0.258445935791 0.0171145128484 900.0002 177.4 47.2216850412 6.2045121246
2453815.79576 15.1343576106 0.241194760703 0.0174474319882 900.0005 191.6 47.227810884 6.20535955428
2453817.79686 15.1341665115 0.259994525194 0.0155377932174 899.9978 179.3 47.2118708405 6.20935578162
2453832.71494 15.1198942484 0.237405433174 0.0189050846259 900.0028 196.2 47.3541948171 6.19592930294
2453833.6418  15.1160718685 0.227790958568 0.018662964549 900.0009 197.8 47.3889427502 6.19178361756
2453862.62903 15.1157844905 0.234400954527 0.0201554889138 900.0 193.9 47.3003271464 6.20840771835
2453866.61574 15.1210442515 0.207643153568 0.0136990526956 899.9999 215.0 47.38834543 6.18989100474
2453871.63651 15.1344041931 0.237769044406 0.0133689220379 899.9985 192.9 47.2856108564 6.19340437583
2453918.50793 15.1181622081 0.37580795304 0.0139054704403 900.0012 120.6 47.2577979859 6.20960138241
2453920.52134 15.1244018859 0.32534343659 0.016933850796 899.9982 140.0 47.2461504668 6.2136616609
2453946.45266 15.1141413639 0.357679597453 0.0140404525294 755.5007 127.9 47.235591389 6.20730048762
2453428.77438 15.1303520864 0.275469178496 0.0158369112361 900.0018 166.6 47.421877465 6.18338062721
2453465.6909  15.1181753462 0.248793741827 0.0181307827049 899.9824 188.2 47.2903871648 6.20640108846
2453468.59057 15.1171738286 0.31184130024 0.0161787269921 900.0007 150.4 47.3635075167 6.19830244251
2453484.68726 15.1367476098 0.278312374384 0.0117295525217 899.9827 166.8 47.4317770893 6.20312146593
2453489.61304 15.1308079623 0.386853837898 0.0152934458418 899.9818 120.5 47.2975249617 6.21344513056
2453491.62851 15.1338109355 0.256438462419 0.0135531785219 899.9828 181.6 47.2872070548 6.20783608957
2453511.60235 15.1127041028 0.258103503434 0.00731079973631 900.0003 176.8 47.330198455 6.19546143541
2453512.59763 15.1132402291 0.315880355927 0.00828353823352 899.9832 146.2 47.4192436874 6.20506219421
2453516.60794 15.1169340052 0.298907761497 0.0178547631488 900.0025 157.9 47.1685235471 6.22621741511
2453517.58984 15.1150729533 0.363725315969 0.0176934767932 894.7994 128.8 47.2049499545 6.22229610257
2453518.62061 15.1143167423 0.429998544964 0.0210375698168 899.9998 109.0 47.2177451298 6.22581581313
2453520.6111  15.1142680604 0.388417190838 0.0216959435319 900.0012 121.6 47.1701785811 6.23304760604
2453542.56333 15.1313231104 0.273848358978 0.00726466862967 900.0001 164.2 47.3652051662 6.18760815901
2453547.51885 15.1410132385 0.456156556615 0.0117071164809 899.9987 98.6 47.1004826257 6.2287630695
2453550.54608 15.1359750548 0.471587519492 0.0206029302944 900.0013 96.2 47.0753565872 6.2319533009
2453573.48155 15.110545275 0.373259127759 0.0110194932567 899.9988 122.2 47.327169844 6.19287586061
2453576.46024 15.1203390991 0.247744181455 0.00826374618354 899.9986 186.1 47.2124506813 6.21347903373
2453578.48927 15.1271189918 0.269461240844 0.0115412136456 900.0019 170.9 47.1384742619 6.22453903031
2453579.4823  15.1268226344 0.255961790982 0.0135497042018 900.0002 180.3 47.1083563027 6.22831849064
2453606.47549 15.1281948173 1.20588973498 0.0101023160744 899.9992 45.7 47.2380721919 6.27513712145
2453037.83062 15.1413969494 0.308157629616 0.0211114868715 744.3001 154.3 47.3198636463 6.22511325924
2453054.75414 15.1213393468 0.372405608292 0.0200637850265 899.9959 134.9 47.2194275937 6.21936158449
2453058.80633 15.1223674603 0.343007553432 0.0182384250638 899.9972 141.8 47.2150924453 6.22655514936
2453063.81971 15.1188642799 0.453099850824 0.020663891405 899.9951 110.1 47.2459667074 6.23155820325
2453146.58379 15.1433071527 0.416985446537 0.0210650738543 755.4959 116.9 47.0108414375 6.24829178659
2453147.49797 15.1437035349 0.416283343736 0.0201856924572 900.0007 111.0 47.0676287292 6.2487575844
2453151.59603 15.1327204863 0.534875617571 0.0256676326652 440.1951 94.2 46.9912533147 6.24002202694
2453156.59108 15.1297428913 0.41013812985 0.0198681915618 961.5015 113.9 47.3152327717 6.20543316608
2453159.60071 15.125462853 0.342958020255 0.0184801097649 900.0011 145.4 47.3316384884 6.20302554718
2453203.49682 15.1381020065 0.328862545596 0.0174272600436 899.9826 143.0 47.2342106853 6.22212420034
2453205.4778  15.1379776874 0.317581237188 0.0191345289151 899.9995 151.1 47.1929112197 6.22658054548
2453217.50118 15.1275119362 0.372879075959 0.0213635899057 899.9957 131.0 47.281698026 6.20382924156
